"transcript_id" "gene_id" "gene_name"
"144" "ENSDART00000050236.7" "ENSDARG00000036748" "nitr8_g1t1"
"145" "ENSDART00000050639.8" "ENSDARG00000094862" "unknown.29"
"146" "ENSDART00000050949.6" "ENSDARG00000035171" "btg4"
"147" "ENSDART00000051448.7" "ENSDARG00000087143" "serpina7_g1t1"
"148" "ENSDART00000051527.5" "ENSDARG00000097302" "tbpl2"
"149" "ENSDART00000051668.6" "ENSDARG00000035632" "ccl19a.2_t1"
"150" "ENSDART00000051751.6" "ENSDARG00000035680" "zgc:113424"
"151" "ENSDART00000052648.5" "ENSDARG00000036247" "tmem144b"
"152" "ENSDART00000052992.5" "ENSDARG00000036471" "dand5"
"153" "ENSDART00000053232.5" "ENSDARG00000036650" "cdadc1_t1"
"154" "ENSDART00000053295.7" "ENSDARG00000070348" "hoxc10a_t1"
"155" "ENSDART00000053336.6" "ENSDARG00000019093" "unknown.30"
"156" "ENSDART00000053408.6" "ENSDARG00000112078" "haus2_g1t1"
"157" "ENSDART00000053656.7" "ENSDARG00000105486" "unknown.31"
"158" "ENSDART00000053660.8" "ENSDARG00000058829" "zgc:171424_t1"
"159" "ENSDART00000053844.7" "ENSDARG00000028354" "stxbp6l_g1t1"
"160" "ENSDART00000054462.8" "ENSDARG00000037423" "smim19_g1t1"
"161" "ENSDART00000054579.6" "ENSDARG00000062489" "marchf8_t1"
"162" "ENSDART00000055006.3" "ENSDARG00000037758" "tlr2_g1t1"
"163" "ENSDART00000055103.5" "ENSDARG00000105341" "unknown.32"
"164" "ENSDART00000055336.6" "ENSDARG00000014592" "unknown.33"
"165" "ENSDART00000055897.6" "ENSDARG00000025783" "si:ch211-125e6.11"
"166" "ENSDART00000056021.4" "ENSDARG00000002797" "unknown.34"
"167" "ENSDART00000056089.6" "ENSDARG00000089966" "unknown.35"
"168" "ENSDART00000056324.6" "ENSDARG00000053062" "unknown.36"
"169" "ENSDART00000056386.7" "ENSDARG00000114721" "unknown.37"
"170" "ENSDART00000056474.7" "ENSDARG00000038672" "tcf7_t1"
"171" "ENSDART00000056512.6" "ENSDARG00000114298" "pbld2_g1t1"
"172" "ENSDART00000056656.5" "ENSDARG00000038793" "ccdc24_t1"
"173" "ENSDART00000056822.7" "ENSDARG00000112255" "pik3r2_g1t1"
"174" "ENSDART00000056895.6" "ENSDARG00000038977" "slc25a24l_t1"
"175" "ENSDART00000056982.7" "ENSDARG00000076019" "unknown.38"
"176" "ENSDART00000057039.8" "ENSDARG00000075732" "unknown.39"
"177" "ENSDART00000057095.6" "ENSDARG00000039096" "si:dkey-24p1.1"
"178" "ENSDART00000057185.6" "ENSDARG00000013491" "MAP3K9_t1"
"179" "ENSDART00000057320.6" "ENSDARG00000039234" "zgc:171579"
"180" "ENSDART00000057348.4" "ENSDARG00000052433" "inha_g1t1"
"181" "ENSDART00000057370.6" "ENSDARG00000067661" "unknown.40"
"182" "ENSDART00000057619.7" "ENSDARG00000039439" "il22ra2"
"183" "ENSDART00000057918.8" "ENSDARG00000045157" "unknown.41"
"184" "ENSDART00000057962.5" "ENSDARG00000039657" "FANK1"
"185" "ENSDART00000058204.6" "ENSDARG00000109863" "unknown.42"
"186" "ENSDART00000058487.7" "ENSDARG00000039974" "rai14_g1t1"
"187" "ENSDART00000058489.6" "ENSDARG00000090380" "unknown.43"
"188" "ENSDART00000058507.7" "ENSDARG00000069012" "ifnphi2"
"189" "ENSDART00000058699.7" "ENSDARG00000040130" "unknown.44"
"190" "ENSDART00000058878.4" "ENSDARG00000040247" "oxgr1a.3"
"191" "ENSDART00000059126.5" "ENSDARG00000014975" "unknown.45"
"192" "ENSDART00000059187.7" "ENSDARG00000019585" "unknown.46"
