"transcript_id"	"gene_id"	"gene_name"	"TF"
"ENSDART00000002053.11"	"ENSDARG00000000476"	"pms1_t2"	TRUE
"ENSDART00000005025.7"	"ENSDARG00000004392"	"hdr_t2"	FALSE
"ENSDART00000006930.11"	"ENSDARG00000004131"	"RTTN_t3"	FALSE
"ENSDART00000007029.9"	"ENSDARG00000003841"	"usb1"	FALSE
"ENSDART00000007211.8"	"ENSDARG00000013245"	"wbp1la"	FALSE
"ENSDART00000010270.6"	"ENSDARG00000008263"	"mfsd4ab"	FALSE
"ENSDART00000014166.6"	"ENSDARG00000020133"	"jdp2b"	TRUE
"ENSDART00000014769.9"	"ENSDARG00000011845"	"CHN2"	FALSE
"ENSDART00000015655.8"	"ENSDARG00000039979"	"tecrl2b_t2"	FALSE
"ENSDART00000016901.8"	"ENSDARG00000003865"	"pard6b"	FALSE
"ENSDART00000017393.9"	"ENSDARG00000011262"	"traip"	FALSE
"ENSDART00000018117.6"	"ENSDARG00000011239"	"ppp1r14aa"	FALSE
"ENSDART00000019983.9"	"ENSDARG00000004151"	"rab23"	FALSE
"ENSDART00000020542.10"	"ENSDARG00000016774"	"unknown.7897"	FALSE
"ENSDART00000020937.9"	"ENSDARG00000019530"	"hdgfl2_g2t1"	FALSE
"ENSDART00000021159.9"	"ENSDARG00000007944"	"lhx1b"	TRUE
"ENSDART00000022526.11"	"ENSDARG00000018650"	"gtpbp3_t3"	FALSE
"ENSDART00000022539.8"	"ENSDARG00000019861"	"fgl2a"	FALSE
"ENSDART00000023058.8"	"ENSDARG00000009743"	"efhc1"	FALSE
"ENSDART00000024606.9"	"ENSDARG00000001829"	"zgc:112982_g2t1"	FALSE
"ENSDART00000025385.8"	"ENSDARG00000013704"	"cers2a_t2"	FALSE
"ENSDART00000027459.10"	"ENSDARG00000032157"	"GRK6"	FALSE
"ENSDART00000027684.10"	"ENSDARG00000004753"	"MYLK_g1t2"	FALSE
"ENSDART00000029314.9"	"ENSDARG00000024847"	"unknown.7904"	FALSE
"ENSDART00000030835.10"	"ENSDARG00000027082"	"hmbox1a"	TRUE
"ENSDART00000030984.4"	"ENSDARG00000023152"	"wdr73_g2t1"	FALSE
"ENSDART00000031049.8"	"ENSDARG00000023868"	"si:dkey-172h23.2_g2t2"	FALSE
"ENSDART00000031650.8"	"ENSDARG00000055723"	"hsp70l"	FALSE
"ENSDART00000032827.6"	"ENSDARG00000024602"	"ACBD3"	FALSE
"ENSDART00000034102.7"	"ENSDARG00000013771"	"ctss2.2"	FALSE
"ENSDART00000035067.8"	"ENSDARG00000025797"	"abhd2a"	FALSE
"ENSDART00000041468.8"	"ENSDARG00000031496"	"ap1ar_t2"	FALSE
